particle #,x,y,vx,vy,m,Omega,h,density,pressure,dvx/dt,dvy/dt,du/dt
particle 0,0.01,0.01,-1.8488e-16,-3.41623e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.56578e-14,2.27632e-14,3.7228e-14
particle 1,0.01,0.03,-4.82482e-16,-7.34589e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.43011e-14,-9.9899e-15,2.13816e-14
particle 2,0.01,0.05,-5.91168e-16,-7.08611e-16,0.43,0.991062,0.0240029,1074.74,716.491,3.29042e-14,1.63758e-15,8.93606e-16
particle 3,0.01,0.07,-3.44173e-16,5.38793e-16,0.43,0.991062,0.0240029,1074.74,716.491,3.18242e-14,-1.56035e-14,7.33892e-15
particle 4,0.01,0.09,-2.96789e-16,2.90442e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.1561e-14,-1.96056e-15,2.58817e-14
particle 5,0.01,0.11,-1.05319e-16,1.26499e-16,0.43,0.991062,0.0240029,1074.74,716.491,1.85372e-14,-1.76934e-15,2.57299e-14
particle 6,0.01,0.13,-3.49794e-16,3.11409e-17,0.43,0.991062,0.0240029,1074.74,716.491,2.8708e-14,-2.29351e-15,4.51954e-14
particle 7,0.01,0.15,-5.01277e-17,-1.3252e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.99621e-14,9.65894e-15,1.95914e-14
particle 8,0.01,0.17,-4.13095e-16,-1.99364e-17,0.43,0.991062,0.0240029,1074.74,716.491,2.89077e-14,2.27544e-15,-1.72675e-14
particle 9,0.01,0.19,-9.11475e-17,9.20424e-16,0.43,0.991062,0.0240029,1074.74,716.491,4.09167e-14,-1.43874e-14,2.83097e-14
particle 10,0.01,0.21,-1.25141e-16,-6.30052e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.71172e-14,4.4964e-15,3.7354e-14
particle 11,0.01,0.23,-2.51724e-16,-4.53363e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.44905e-14,-3.54511e-15,-1.09139e-14
particle 12,0.01,0.25,-2.68581e-16,1.03275e-15,0.43,0.991062,0.0240029,1074.74,716.491,3.6666e-14,-3.71111e-14,2.22251e-14
particle 13,0.01,0.27,-4.26895e-16,-6.42693e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.47163e-14,-1.11022e-15,7.72262e-14
particle 14,0.01,0.29,-2.81845e-16,-3.01106e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.22322e-14,1.26843e-14,-3.84935e-14
particle 15,0.01,0.31,-1.61409e-16,3.01778e-15,0.43,0.991062,0.0240029,1074.74,716.491,2.19644e-14,-1.33977e-14,-2.85448e-14
particle 16,0.01,0.33,-3.94899e-16,1.07998e-16,0.43,0.991062,0.0240029,1074.74,716.491,2.52437e-14,1.38778e-16,1.01662e-13
