particle #,x,y,vx,vy,m,Omega,h,density,pressure,dvx/dt,dvy/dt,du/dt
particle 0,0.01,0.01,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 1,0.01,0.03,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 2,0.01,0.05,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 3,0.01,0.07,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 4,0.01,0.09,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 5,0.01,0.11,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 6,0.01,0.13,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 7,0.01,0.15,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 8,0.01,0.17,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 9,0.01,0.19,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 10,0.01,0.21,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 11,0.01,0.23,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 12,0.01,0.25,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 13,0.01,0.27,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 14,0.01,0.29,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 15,0.01,0.31,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 16,0.01,0.33,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 17,0.01,0.35,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 18,0.01,0.37,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 19,0.01,0.39,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 20,0.01,0.41,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 21,0.01,0.43,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 22,0.01,0.45,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 23,0.01,0.47,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 24,0.01,0.49,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 25,0.01,0.51,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 26,0.01,0.53,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 27,0.01,0.55,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 28,0.01,0.57,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 29,0.01,0.59,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 30,0.01,0.61,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 31,0.01,0.63,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 32,0.01,0.65,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 33,0.01,0.67,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 34,0.01,0.69,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 35,0.01,0.71,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 36,0.01,0.73,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 37,0.01,0.75,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 38,0.01,0.77,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 39,0.01,0.79,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 40,0.01,0.81,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 41,0.01,0.83,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 42,0.01,0.85,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 43,0.01,0.87,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 44,0.01,0.89,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 45,0.01,0.91,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 46,0.01,0.93,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 47,0.01,0.95,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 48,0.01,0.97,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 49,0.01,0.99,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 50,0.03,0.01,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 51,0.03,0.03,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
particle 52,0.03,0.05,0,0,0.43,0.991062,0.024003,1074.74,0,0,0,0
